tree_id,spc_common,boroname,steward,guards,sidewalk,curb_loc,soil,tree_dbh,health
200000,Ginkgo,Bronx,None,None,NoDamage,OffsetFromCurb,Well-maintained,17.5,Good
200001,London planetree,Manhattan,None,None,NoDamage,OnCurb,Artificial,15.7,Fair
200002,American elm,Bronx,3or4,Hurdle,NoDamage,OnCurb,Well-maintained,11.9,Good
200003,American elm,Manhattan,3or4,MetalGrate,NoDamage,OffsetFromCurb,Plantable,14.9,Good
200004,American elm,Queens,3or4,Hurdle,NoDamage,OnCurb,Artificial,12.5,Good
200005,London planetree,Brooklyn,1or2,None,NoDamage,OnCurb,Artificial,15.0,Poor
200006,Ginkgo,Manhattan,None,MetalGrate,Damage,OnCurb,Well-maintained,8.9,Fair
200007,American elm,Queens,None,None,NoDamage,OnCurb,Artificial,8.1,Poor
200008,Japanese zelkova,Brooklyn,1or2,None,NoDamage,OnCurb,Artificial,13.1,Good
200009,Ginkgo,Staten Island,None,None,NoDamage,OnCurb,Artificial,19.4,Good
200010,London planetree,Queens,3or4,None,Damage,OnCurb,Well-maintained,3,Poor
200011,London planetree,Queens,1or2,None,NoDamage,OffsetFromCurb,Artificial,10.6,Good
200012,Callery pear,Staten Island,3or4,None,NoDamage,OnCurb,Well-maintained,15.9,Good
200013,Ginkgo,Bronx,3or4,None,NoDamage,OnCurb,Artificial,9.9,Good
200014,London planetree,Staten Island,3or4,MetalGrate,NoDamage,OnCurb,Well-maintained,15.0,Good
200015,London planetree,Queens,3or4,None,NoDamage,OnCurb,Artificial,12.3,Poor
200016,Callery pear,Brooklyn,1or2,MetalGrate,Damage,OnCurb,Well-maintained,9.8,Good
200017,London planetree,Brooklyn,None,Hurdle,NoDamage,OnCurb,Artificial,8.7,Fair
200018,London planetree,Staten Island,3or4,None,NoDamage,OffsetFromCurb,Artificial,20.9,Good
200019,Callery pear,Queens,3or4,None,Damage,OnCurb,Plantable,21.6,Good
200020,Pin oak,Queens,4orMore,None,NoDamage,OnCurb,Well-maintained,13.0,Good
